sensor_index,name,model,latitude,longitude,altitude,date_created,in_manhattan
89409,DUMBOview,PA-I,40.70325,-73.98952,19,1605198157,0
222475,115 York St,PA-II-FLEX,40.70172,-73.986206,30,1713823681,0
145962,PortSide Test,PA-II-SD,40.680958,-74.01284,8,1648579055,0
152862,Red Hook Initiative,PA-II-SD,40.67681,-74.00462,14,1657141226,0
182235,Dikeman St,PA-II-FLEX,40.67525,-74.01091,10,1685140940,0
165783,Red Hook Farms - Columbia Street Farm 1,PA-II-FLEX,40.67223,-74.01005,7,1664909296,0
198663,LIVING ROOM,PA-I-LED,40.672848,-73.97987,75,1697043904,0
182449,Gowanus,PA-I-LED,40.66768,-73.993706,30,1685555329,0
138798,prospect park sw,PA-I,40.65943,-73.97708,150,1638217197,0
182243,Windsor Pl and 10th Ave,PA-II-FLEX,40.6583,-73.97814,155,1685140991,0
81785,RGBIV,PA-II,40.695778,-73.99408,95,1602710925,0
144554,Adelphi Street Roof,PA-II,40.694927,-73.97224,55,1644965426,0
175901,Columbiaia St &amp; Congress St,PA-II,40.689377,-74.00056,15,1678210687,0
182073,B.reathing Q.uantities of E.xhaust,PA-II-FLEX,40.685577,-74.00039,24,1684957545,0
140334,Hoyt Street Brooklyn,PA-I,40.685436,-73.98876,20,1639090433,0
185729,Cobble Hill Court St,PA-II-FLEX,40.68523,-73.99494,45,1687880124,0
198733,Kiddie Science Lab,PA-II,40.659718,-73.9532,68,1697052146,0
182105,Prospect Park South,PA-II-FLEX,40.655033,-73.95631,58,1684958045,0
186425,Coco,PA-II,40.688675,-73.974724,64,1688150095,0
178413,Devoe House,PA-II-FLEX,40.7131,-73.95079,29,1680641765,0
202009,NBNPA-2023-2,PA-II-FLEX,40.735252,-73.95772,24,1699887263,0
202003,NBNPA-2023-10,PA-II-FLEX,40.723373,-73.9458,26,1699887255,0
202015,Nbn 3,PA-II-FLEX,40.73305,-73.95822,18,1699887274,0
147661,Driggs 285,PA-II,40.72222,-73.9496,18,1652985784,0
181523,Jamrat,PA-I-LED,40.718807,-73.9511,12,1684442709,0
101523,87 Rich (3rd),PA-II,40.71871,-73.947815,16,1616013536,0
170725,Morgan Ave GP,PA-I-LED,40.726025,-73.93982,33,1668622433,0
49363,Greenpoint Ave &amp; Franklin St,PA-II,40.73014,-73.95654,30,1582839481,0
198365,88 Meserole Ave,PA-I-LED,40.72666,-73.95359,18,1696867189,0
190459,Air2-D2,PA-II,40.75508,-73.933716,45,1690838108,0
87557,11105,PA-II,40.77808,-73.91492,52,1604084709,0
170281,Kraken's crib,PA-I-LED,40.765965,-73.927826,18,1668112535,0
92169,FA-CTKo,PA-II,40.837517,-73.91544,101,1606238714,0
172111,Bronx Center for Science and Mathematics - outdoor,PA-II-FLEX,40.833763,-73.902565,75,1669748750,0
92171,FreshAir-O1,PA-II,40.860455,-73.88581,86,1606238722,0
140378,Fordham Hill Oval,PA-I,40.865273,-73.90739,139,1639092316,0
90269,FA-O4,PA-II,40.858074,-73.88898,87,1605561082,0
140062,Crbx,PA-I,40.874683,-73.904335,23,1638915257,0
174933,Moshulu Pkwy S - The Bronx,PA-II-FLEX,40.879787,-73.88633,140,1676913129,0
188617,Spuyten Duyvil: Arlington at 227,PA-II-FLEX,40.8811,-73.91456,210,1689710220,0
186091,Englewood,PA-II-FLEX,40.9008,-73.966644,122,1687986627,0
175987,Englewood,PA-II-FLEX,40.890877,-73.96668,157,1678219931,0
28285,Southwest Hoboken,PA-II,40.736893,-74.04125,4,1552002225,0
189061,TCS,PA-II-FLEX,40.772564,-73.951385,57,1689963468,1
144714,PHB,PA-II-SD,40.785732,-73.97315,100,1646433156,1
130381,Leonard Street,PA-I,40.71858,-74.00807,23,1632780577,1
135024,325 and RSD - 2,PA-I,40.801243,-73.970146,114,1635369114,1
188661,WE ACT Community Sensor #4,PA-II-SD,40.795002,-73.942764,18,1689714217,1
178471,The Bean,PA-II-FLEX,40.717663,-74.00592,37,1680643462,1
174545,White St. &amp; The Alley,PA-II-FLEX,40.717777,-74.002625,25,1675800380,1
175215,PM - Chung Pak 13th Floor Rooftop,PA-II-SD,40.71723,-73.99993,19,1677264059,1
169657,MottAir01 Chinatown,PA-II-FLEX,40.716137,-73.99831,33,1667857555,1
