timestamp,temperature_f,dew_point_f,humidity_%,wind,wind_speed_mph,wind_gust_mph,pressure_in,precip_in,weather_condition,datetime
1676508660,56,50,80,S,3,0,29.79,0.0,Cloudy,2023-02-16 00:51:00
1676512260,61,39,44,SW,16,24,29.91,0.0,Partly Cloudy,2023-02-16 01:51:00
1676515860,61,39,44,WSW,16,23,29.93,0.0,Mostly Cloudy,2023-02-16 02:51:00
1676519460,60,38,44,WSW,15,0,29.93,0.0,Mostly Cloudy,2023-02-16 03:51:00
1676523060,60,38,44,SW,13,0,29.94,0.0,Mostly Cloudy,2023-02-16 04:51:00
1676526660,60,38,44,WSW,12,21,29.95,0.0,Mostly Cloudy,2023-02-16 05:51:00
1676530260,59,38,46,WSW,6,0,29.98,0.0,Mostly Cloudy,2023-02-16 06:51:00
1676533860,57,39,51,SSW,9,0,29.98,0.0,Mostly Cloudy,2023-02-16 07:51:00
1676537460,58,39,49,CALM,0,0,29.99,0.0,Mostly Cloudy,2023-02-16 08:51:00
1676541060,63,38,40,CALM,0,0,29.99,0.0,Mostly Cloudy,2023-02-16 09:51:00
1676544660,60,38,44,NW,7,0,30.0,0.0,Mostly Cloudy,2023-02-16 10:51:00
1676548260,64,37,37,SW,3,0,30.0,0.0,Mostly Cloudy,2023-02-16 11:51:00
1676551860,66,38,36,CALM,0,0,29.99,0.0,Cloudy,2023-02-16 12:51:00
1676555460,68,38,33,VAR,3,0,29.95,0.0,Fair,2023-02-16 13:51:00
1676559060,67,39,36,SSE,6,0,29.92,0.0,Cloudy,2023-02-16 14:51:00
1676562660,65,42,43,S,6,0,29.92,0.0,Light Rain,2023-02-16 15:51:00
1676566260,62,46,56,S,12,0,29.96,0.0,Light Rain,2023-02-16 16:51:00
1676569860,56,47,72,SSW,7,0,29.92,0.0,Light Rain,2023-02-16 17:51:00
1676573460,57,47,69,VAR,5,0,29.89,0.0,Cloudy,2023-02-16 18:51:00
1676577060,57,47,69,S,7,0,29.89,0.0,Cloudy,2023-02-16 19:51:00
1676580660,56,47,72,S,9,0,29.88,0.0,Cloudy,2023-02-16 20:51:00
1676583360,55,47,74,S,7,0,29.87,0.0,Cloudy,2023-02-16 21:36:00
1676584260,55,48,77,S,7,0,29.86,0.0,Cloudy,2023-02-16 21:51:00
1676587860,57,49,74,SSW,8,0,29.85,0.0,Mostly Cloudy,2023-02-16 22:51:00
1676589060,57,50,77,S,7,0,29.83,0.0,Mostly Cloudy,2023-02-16 23:11:00
1676591460,57,50,77,S,6,0,29.82,0.0,Cloudy,2023-02-16 23:51:00
1676595060,33,17,52,NNW,28,37,30.01,0.0,Mostly Cloudy / Windy,2023-02-17 00:51:00
1676598660,57,51,81,S,8,0,29.75,0.0,Cloudy,2023-02-17 01:51:00
1676602260,56,50,80,CALM,0,0,29.73,0.0,Cloudy,2023-02-17 02:51:00
1676605860,54,49,83,SSE,9,0,29.68,0.0,Cloudy,2023-02-17 03:51:00
1676609460,52,48,86,SSE,6,0,29.65,0.0,Cloudy,2023-02-17 04:51:00
1676613060,53,49,86,S,8,0,29.63,0.0,Cloudy,2023-02-17 05:51:00
1676616660,52,48,86,SSE,7,0,29.63,0.0,Cloudy,2023-02-17 06:51:00
1676620260,53,49,86,SSW,7,0,29.65,0.0,Cloudy,2023-02-17 07:51:00
1676621940,55,50,83,VAR,6,0,29.63,0.0,Cloudy,2023-02-17 08:19:00
1676623860,58,52,81,WSW,13,18,29.61,0.0,Light Rain,2023-02-17 08:51:00
1676627460,59,53,81,WSW,14,0,29.6,0.0,Light Rain,2023-02-17 09:51:00
1676631060,59,54,83,SSW,16,25,29.56,0.1,Light Rain,2023-02-17 10:51:00
1676634660,59,55,87,S,17,25,29.47,0.0,Cloudy,2023-02-17 11:51:00
1676636760,60,55,83,SW,9,21,29.52,0.0,Cloudy,2023-02-17 12:26:00
1676638260,60,54,80,SW,9,0,29.52,0.0,Cloudy,2023-02-17 12:51:00
1676639700,60,55,83,SW,12,18,29.5,0.0,Cloudy,2023-02-17 13:15:00
1676641620,61,55,82,SW,9,0,29.48,0.0,Light Rain,2023-02-17 13:47:00
1676641860,61,55,81,SW,12,0,29.48,0.0,Cloudy,2023-02-17 13:51:00
1676643300,61,56,83,SW,14,22,29.47,0.0,Light Rain,2023-02-17 14:15:00
1676643600,60,55,83,WNW,28,43,29.51,0.0,Rain / Windy,2023-02-17 14:20:00
1676643900,50,45,83,NW,24,43,29.51,0.0,Heavy Rain / Windy,2023-02-17 14:25:00
1676644740,49,44,83,NW,21,32,29.52,0.1,Light Rain / Windy,2023-02-17 14:39:00
1676645340,50,43,76,NW,21,30,29.51,0.1,Light Rain / Windy,2023-02-17 14:49:00
1676645460,51,43,74,NW,21,29,29.52,0.1,Light Rain / Windy,2023-02-17 14:51:00
1676649060,51,40,66,NNW,18,30,29.54,0.0,Cloudy,2023-02-17 15:51:00
1676649900,50,40,68,NNW,20,0,29.55,0.0,Cloudy,2023-02-17 16:05:00
1676652660,46,31,56,NW,24,31,29.59,0.0,Cloudy / Windy,2023-02-17 16:51:00
1676655660,44,30,58,NW,24,29,29.64,0.0,Wintry Mix / Windy,2023-02-17 17:41:00
1676656260,43,30,60,NW,23,0,29.64,0.0,Wintry Mix / Windy,2023-02-17 17:51:00
1676656560,43,30,60,NW,22,0,29.63,0.0,Light Rain / Windy,2023-02-17 17:56:00
1676657580,42,29,60,NW,24,31,29.65,0.0,Wintry Mix / Windy,2023-02-17 18:13:00
1676659080,42,28,58,NW,28,38,29.68,0.0,Light Rain / Windy,2023-02-17 18:38:00
1676659860,41,27,57,WNW,20,35,29.71,0.0,Cloudy,2023-02-17 18:51:00
1676663460,39,25,57,NNW,24,36,29.74,0.0,Mostly Cloudy / Windy,2023-02-17 19:51:00
1676667060,37,23,57,WNW,22,31,29.8,0.0,Mostly Cloudy / Windy,2023-02-17 20:51:00
1676670660,35,20,54,NNW,25,40,29.86,0.0,Mostly Cloudy / Windy,2023-02-17 21:51:00
1676674260,34,20,56,NW,22,31,29.92,0.0,Mostly Cloudy / Windy,2023-02-17 22:51:00
1676677860,33,18,54,NNW,23,31,29.96,0.0,Partly Cloudy / Windy,2023-02-17 23:51:00
1676681460,39,17,41,SW,9,0,30.34,0.0,Fair,2023-02-18 00:51:00
1676685060,32,15,50,NNW,22,29,30.05,0.0,Mostly Cloudy / Windy,2023-02-18 01:51:00
1676688660,32,15,50,NW,16,32,30.08,0.0,Mostly Cloudy,2023-02-18 02:51:00
1676692260,31,15,52,NNW,17,0,30.11,0.0,Mostly Cloudy,2023-02-18 03:51:00
1676695860,32,16,52,NW,21,29,30.14,0.0,Mostly Cloudy / Windy,2023-02-18 04:51:00
1676699460,31,16,54,WNW,18,0,30.18,0.0,Mostly Cloudy,2023-02-18 05:51:00
1676703060,30,14,51,WNW,20,24,30.22,0.0,Mostly Cloudy,2023-02-18 06:51:00
1676706660,29,13,51,NW,18,0,30.25,0.0,Fair,2023-02-18 07:51:00
1676710260,29,13,51,WNW,14,0,30.29,0.0,Fair,2023-02-18 08:51:00
1676713860,29,11,47,NW,16,0,30.31,0.0,Fair,2023-02-18 09:51:00
1676717460,31,11,43,WNW,17,21,30.33,0.0,Fair,2023-02-18 10:51:00
1676721060,33,11,40,WNW,9,20,30.33,0.0,Fair,2023-02-18 11:51:00
1676724660,35,11,37,WSW,12,0,30.32,0.0,Fair,2023-02-18 12:51:00
1676728260,38,10,32,VAR,6,0,30.3,0.0,Fair,2023-02-18 13:51:00
1676731860,40,7,26,W,9,0,30.27,0.0,Fair,2023-02-18 14:51:00
1676735460,42,7,24,W,7,0,30.26,0.0,Fair,2023-02-18 15:51:00
1676739060,43,10,26,SW,9,0,30.25,0.0,Fair,2023-02-18 16:51:00
1676742660,43,11,27,W,12,0,30.26,0.0,Fair,2023-02-18 17:51:00
1676746260,42,10,27,SW,14,0,30.27,0.0,Partly Cloudy,2023-02-18 18:51:00
1676749860,41,12,31,SW,14,0,30.31,0.0,Partly Cloudy,2023-02-18 19:51:00
1676753460,41,14,33,SW,13,22,30.32,0.0,Fair,2023-02-18 20:51:00
1676757060,41,14,33,SW,15,0,30.34,0.0,Fair,2023-02-18 21:51:00
1676760660,40,15,36,SW,10,0,30.36,0.0,Partly Cloudy,2023-02-18 22:51:00
1676764260,39,16,39,SSW,10,0,30.35,0.0,Fair,2023-02-18 23:51:00
1676767860,44,37,76,CALM,0,0,29.93,0.0,Partly Cloudy,2023-02-19 00:51:00
1676771460,39,17,41,WSW,9,0,30.34,0.0,Fair,2023-02-19 01:51:00
1676775060,39,18,43,SW,6,0,30.34,0.0,Partly Cloudy,2023-02-19 02:51:00
1676778660,39,18,43,SW,5,0,30.34,0.0,Mostly Cloudy,2023-02-19 03:51:00
1676782260,38,18,44,CALM,0,0,30.35,0.0,Mostly Cloudy,2023-02-19 04:51:00
1676785860,38,19,47,SSW,8,0,30.35,0.0,Mostly Cloudy,2023-02-19 05:51:00
1676789460,38,20,48,SSW,3,0,30.35,0.0,Mostly Cloudy,2023-02-19 06:51:00
1676793060,38,20,48,SSW,6,0,30.35,0.0,Mostly Cloudy,2023-02-19 07:51:00
1676796660,38,21,51,S,5,0,30.34,0.0,Mostly Cloudy,2023-02-19 08:51:00
1676800260,40,21,47,S,7,0,30.35,0.0,Mostly Cloudy,2023-02-19 09:51:00
1676803860,43,23,45,S,7,0,30.34,0.0,Mostly Cloudy,2023-02-19 10:51:00
1676807460,44,26,49,SSW,7,0,30.33,0.0,Mostly Cloudy,2023-02-19 11:51:00
1676811060,45,25,46,S,12,0,30.3,0.0,Mostly Cloudy,2023-02-19 12:51:00
1676814660,46,29,51,SSE,13,0,30.23,0.0,Mostly Cloudy,2023-02-19 13:51:00
1676818260,48,30,50,S,15,23,30.19,0.0,Mostly Cloudy,2023-02-19 14:51:00
