grid_code,min_lon,max_lon,min_lat,max_lat,intersects_manhattan,has_sensor,sensor_list
0@0,-74.04353,-74.03353,40.6529165,40.6629165,False,False,[]
0@1,-74.04353,-74.03353,40.6629165,40.6729165,False,False,[]
0@2,-74.04353,-74.03353,40.67291650000001,40.682916500000005,False,False,[]
0@3,-74.04353,-74.03353,40.682916500000005,40.6929165,True,False,[]
0@4,-74.04353,-74.03353,40.6929165,40.7029165,True,False,[]
0@5,-74.04353,-74.03353,40.7029165,40.7129165,False,False,[]
0@6,-74.04353,-74.03353,40.712916500000006,40.722916500000004,False,False,[]
0@7,-74.04353,-74.03353,40.722916500000004,40.7329165,False,False,[]
0@8,-74.04353,-74.03353,40.7329165,40.7429165,False,True,[28285]
0@9,-74.04353,-74.03353,40.74291650000001,40.752916500000005,False,False,[]
0@10,-74.04353,-74.03353,40.752916500000005,40.7629165,False,False,[]
0@11,-74.04353,-74.03353,40.7629165,40.7729165,False,False,[]
0@12,-74.04353,-74.03353,40.7729165,40.7829165,False,False,[]
0@13,-74.04353,-74.03353,40.782916500000006,40.792916500000004,False,False,[]
0@14,-74.04353,-74.03353,40.792916500000004,40.8029165,False,False,[]
0@15,-74.04353,-74.03353,40.8029165,40.8129165,False,False,[]
0@16,-74.04353,-74.03353,40.8129165,40.8229165,False,False,[]
0@17,-74.04353,-74.03353,40.822916500000005,40.8329165,False,False,[]
0@18,-74.04353,-74.03353,40.8329165,40.8429165,False,False,[]
0@19,-74.04353,-74.03353,40.8429165,40.8529165,False,False,[]
0@20,-74.04353,-74.03353,40.852916500000006,40.862916500000004,False,False,[]
0@21,-74.04353,-74.03353,40.862916500000004,40.8729165,False,False,[]
0@22,-74.04353,-74.03353,40.8729165,40.8829165,False,False,[]
0@23,-74.04353,-74.03353,40.8829165,40.8929165,False,False,[]
0@24,-74.04353,-74.03353,40.892916500000005,40.9029165,False,False,[]
1@0,-74.03353,-74.02353,40.6529165,40.6629165,False,False,[]
1@1,-74.03353,-74.02353,40.6629165,40.6729165,False,False,[]
1@2,-74.03353,-74.02353,40.67291650000001,40.682916500000005,False,False,[]
1@3,-74.03353,-74.02353,40.682916500000005,40.6929165,True,False,[]
1@4,-74.03353,-74.02353,40.6929165,40.7029165,False,False,[]
1@5,-74.03353,-74.02353,40.7029165,40.7129165,False,False,[]
1@6,-74.03353,-74.02353,40.712916500000006,40.722916500000004,False,False,[]
1@7,-74.03353,-74.02353,40.722916500000004,40.7329165,False,False,[]
1@8,-74.03353,-74.02353,40.7329165,40.7429165,False,False,[]
1@9,-74.03353,-74.02353,40.74291650000001,40.752916500000005,False,False,[]
1@10,-74.03353,-74.02353,40.752916500000005,40.7629165,False,False,[]
1@11,-74.03353,-74.02353,40.7629165,40.7729165,False,False,[]
1@12,-74.03353,-74.02353,40.7729165,40.7829165,False,False,[]
1@13,-74.03353,-74.02353,40.782916500000006,40.792916500000004,False,False,[]
1@14,-74.03353,-74.02353,40.792916500000004,40.8029165,False,False,[]
1@15,-74.03353,-74.02353,40.8029165,40.8129165,False,False,[]
1@16,-74.03353,-74.02353,40.8129165,40.8229165,False,False,[]
1@17,-74.03353,-74.02353,40.822916500000005,40.8329165,False,False,[]
1@18,-74.03353,-74.02353,40.8329165,40.8429165,False,False,[]
1@19,-74.03353,-74.02353,40.8429165,40.8529165,False,False,[]
1@20,-74.03353,-74.02353,40.852916500000006,40.862916500000004,False,False,[]
1@21,-74.03353,-74.02353,40.862916500000004,40.8729165,False,False,[]
1@22,-74.03353,-74.02353,40.8729165,40.8829165,False,False,[]
